file_path,code,start,end,fid,uid
systems/config/NamedListConfig.java,"
NamedListConfig (Preferences preferences, String preferenceName) {
    this.preferenceName = preferenceName;
    this.preferences = preferences;
    load ();
}
",28,33,0,0-28-33
systems/config/NamedListConfig.java,"
public void load () {
    if (preferences == null) {
        return;
    }
    String [] namedListPrefs = preferences.get (preferenceName, """").split (""###"");
    for (int i = 0; i < namedListPrefs.length; i += 2) {
        if (namedListPrefs [i].length () > 0) {
            namedList.put (namedListPrefs [i], serializeValue (namedListPrefs [i + 1]));
        }
    }
}
",38,53,0,0-38-53
systems/config/NamedListConfig.java,"
Object serializeValue (String value) {
    return value;
}
",55,58,0,0-55-58
systems/config/NamedListConfig.java,"
public void store () {
    StringBuffer sb = new StringBuffer (32);
    for (Map.Entry < String, Object > e : namedList.entrySet ()) {
        sb.append (e.getKey ()).append (""###"").append (e.getValue ()).append (""###"");
    }
    if (sb.length () > 3) {
        sb.delete (sb.length () - 3, sb.length ());
    }
    preferences.put (preferenceName, sb.toString ());
}
",63,75,0,0-63-75
systems/config/NamedListConfig.java,"
public void add (String key, Object value) {
    namedList.put (key, value);
}
",81,84,0,0-81-84
systems/config/NamedListConfig.java,"
public String get (String key) {
    Object value = namedList.get (key);
    return value != null ? value.toString () : null;
}
",90,94,0,0-90-94
systems/config/NamedListConfig.java,"
public String remove (String key) {
    return namedList.remove (key).toString ();
}
",100,103,0,0-100-103
systems/config/NamedListConfig.java,"
public Iterator < String > iterator () {
    return namedList.keySet ().iterator ();
}
",108,111,0,0-108-111
systems/config/NamedListConfig.java,"
public int size () {
    return namedList.size ();
}
",113,116,0,0-113-116
systems/config/NamedListConfig.java,"
public void update (String [] keys) {
    Map < String, Object > newList = new LinkedHashMap < String, Object > ();
    for (int i = 0; i < keys.length; i ++) {
        newList.put (keys [i], namedList.get (keys [i]));
    }
    namedList = newList;
}
",124,133,0,0-124-133
systems/config/ConfigDetector.java,"
public ConfigDetector (ScannerConfig config) {
    this.config = config;
}
",37,40,1,1-37-40
systems/config/ConfigDetector.java,"
public void setCallback (DetectorCallback callback) {
    this.callback = callback;
}
",42,45,1,1-42-45
systems/config/ConfigDetector.java,"
public void detectMaxThreads (InetSocketAddress socketAddress) {
    logger = LoggerFactory.getLogger ();
    expectedConnects = new AtomicInteger ();
    actualConnects = new AtomicInteger ();
    List < Thread > threads = new LinkedList < Thread > ();
    for (int i = 0; i < config.maxThreads; i ++) {
        Thread t = new SocketThread (socketAddress);
        threads.add (t);
        t.start ();
    }
    join (threads);
}
",47,65,1,1-47-65
systems/config/ConfigDetector.java,"
private void join (List < Thread > threads) {
    try {
        for (Thread t : threads) {
            t.join ();
        }
        threads.clear ();
    } catch (InterruptedException e) {
    }
}
",67,80,1,1-67-80
systems/config/ConfigDetector.java,"
public int getInitialConnectCount () {
    return config.maxThreads * CONNECTS_PER_THREAD;
}
",82,85,1,1-82-85
systems/config/ConfigDetector.java,"
public int getInitialSuccessCount () {
    return (int) (getInitialConnectCount () * SUCCESS_PROBABILITY);
}
",87,90,1,1-87-90
